univ_id,univ_name,major_name,year,priority,real_apply,score,지원 결과,최초합격 커트라인,최종 커트라인,이월 전 정원,수시 이월 정원,실제 지원자 수,추가 합격자 수
3,고려대학교,가정교육과,2018,0.0,False,649.3785713999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,647.3857142999999,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,648.5785714,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,653.9071428999998,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,638.9674478999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,640.5690103999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,637.0607143,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,646.85,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,652.4928571,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,639.5071429,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,635.9075521000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,651.2392857000001,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,626.6892857,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,629.764974,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,629.7779948,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,648.6214286000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,635.7252603999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,640.6214286000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,True,631.8782552,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,True,650.2714286,추가합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,True,650.3107143,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,True,623.4928571,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,644.65,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,647.7642857000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,649.3928571,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,602.1835937999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,630.2278646000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,644.7535713999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,626.0071429,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,649.6214286000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,633.2779948,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,653.8714286000002,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,1.0,True,649.7785713999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,649.3107143,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,638.4928571,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,645.5214286,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,653.3071428999998,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,644.2821428999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,644.6535713999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,632.8997396000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,True,648.55,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,643.1785714,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,646.5332031,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,632.8997396000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,652.8642857000001,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,636.2695312999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,641.5928571000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,644.0690103999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,646.65,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,642.2357142999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,638.4570312999998,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,640.6357142999999,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,650.2071429,추가합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,636.3372396000002,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,652.25,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,True,648.5464286,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,653.8285714,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,1.0,True,651.2785713999998,최초합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,True,642.4214286,불합격,650.29,650.02,8.0,14.0,0.0,3.0
3,고려대학교,가정교육과,2018,0.0,False,643.6642857,불합격,650.29,650.02,8.0,14.0,0.0,3.0
