univ_id,univ_name,major_name,year,priority,real_apply,score,지원 결과,최초합격 커트라인,최종 커트라인,이월 전 정원,수시 이월 정원,실제 지원자 수,추가 합격자 수
3,고려대학교,가정교육과,2019,0.0,False,668.9571429,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,664.8,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,661.78125,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,648.875,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,659.6357142999999,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,661.34375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,1.0,True,663.9928571,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,646.796875,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,617.85,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,636.1875,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,662.9785714,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,1.0,True,668.6035714,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,642.2642857000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,660.765625,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,647.4375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,651.8125,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,666.7142857000001,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,True,651.0,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,1.0,True,668.8285714,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,661.9214286,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,623.2821428999998,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,671.75,최초합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,661.1979167000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,645.015625,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,True,653.78125,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,664.65625,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,621.734375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,659.90625,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,644.9375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,638.234375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,655.9375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,659.5071429,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,True,658.1107142999998,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,670.6857143,최초합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,647.05,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,650.453125,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,665.5214286,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,665.2464286000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,651.1428571,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,True,669.9285714,최초합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,667.96875,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,667.9285714,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,668.05,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,664.3214286,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,643.59375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,657.8892857000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,669.7142857000001,추가합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,667.71875,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,661.9714286000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,670.1571428999998,최초합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,655.734375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,639.0625,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,1.0,True,661.2285714,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,636.03125,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,653.421875,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,665.7357142999998,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,1.0,True,641.609375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,647.875,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,630.734375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,652.015625,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,637.4557292000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,640.5625,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,623.40625,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,660.3142857,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,657.7857142999999,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,True,666.5,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,True,653.28125,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,1.0,True,666.2214286000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,667.6035714,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,664.9928571,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,626.6714286,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,666.8178571000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,1.0,True,665.3714286000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,669.9285714,최초합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,True,658.2285714,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,666.7678571,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,647.9375,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,0.0,False,664.4714286000002,불합격,669.8,669.37,8.0,6.0,0.0,2.0
3,고려대학교,가정교육과,2019,1.0,True,668.9,불합격,669.8,669.37,8.0,6.0,0.0,2.0
